NO,Kode Accurate,NAMA BARANG,STATUS,CP,SP,PRICE,TANGGAL UPDATE,KATEGORI,NAMA BRAND,Stok Sistem,NON AKTIF
1,100023,AC AQUA 1 PK AQA-CR9FQAL (O),KOSONG,,,,,AC (AIR CONDITIONER),AQUA,,TIDAK
2,100019,AC AQUA 1 PK AQA-KR9FQAL (I),KOSONG,,,,,,,,YA
3,100021,AC AQUA 1/2 PK AQA-CR5FQDL (O),KOSONG,,,,,,,,YA
4,100020,AC AQUA 1/2 PK AQA-KR5FQDL (I),KOSONG,,,,,AC (AIR CONDITIONER),AQUA,-1,TIDAK
5,100018,AC AQUA 2PK AQA-CR18FQAL (O),KOSONG,,,,,AC (AIR CONDITIONER),AQUA,,TIDAK
6,100017,AC AQUA 2PK AQA-KR18FQAL (I),KOSONG,,,,,AC (AIR CONDITIONER),AQUA,,TIDAK
7,100820,ACER ASPIRE 3 SLIM A314 RYZEN 7 5700 16GB 512GB W11+OHS 14.0 IPS SLV -42P.R7E5,KOSONG,"Rp8.275.000,00","Rp8.700.000,00","Rp8.450.000,00",19/12/2025,LAPTOP,ACER,,TIDAK
8,100560,ACER ASPIRE 3 SLIM A314-36M-37EE I3-N305 8GB 512GB 14″ FHD Win 11 Home+OHS 2021- SILVER,KOSONG,,,,,,ACER,,YA
9,100424,ACER ASPIRE GO 14 AG14 I3 N305 8CORE 8GB 256GB W11+OHS 14.0WUXGA SLV -31P.34GM,KOSONG,,,,,,ACER,,YA
10,100450,ACER ASPIRE GO 14 AG14 N305 8CORE 8GB 512GB W11+OHS 14.0WUXGA SILVER -31P,KOSONG,,,,,,ACER,,YA
11,100014,ACER ASPIRE LITE AL14 I3 1215 8GB 256GB W11+OHS 14.0WUXGA IPS SILVER,KOSONG,,,,,,ACER,,YA
12,100463,ACER ASPIRE LITE AL14 I5 1235 16GB 512GB W11+OHS 14.0WUXGA IPS SLV -51M.58U1,KOSONG,,,,,,ACER,,YA
13,100821,ACER ASPIRE LITE AL14 I5 1334 16GB 512GB W11+OHS 14.0WUXGA IPS SLV -52M.59TF,KOSONG,,,,,,ACER,,YA
14,101052,ACER ASPIRE LITE AL14 I5 1334 8GB 512GB W11+OHS 14.0WUXGA IPS SLV -52M.59N8,KOSONG,,,,,,ACER,,YA
15,100508,ACER LITE AL1 14 I3 1215 8GB 512GB W11+OHS IPS SLV AL1-14M-3SID,READY,"Rp6.075.000,00","Rp6.400.000,00","Rp6.300.000,00",07/01/2026,LAPTOP,ACER,1,TIDAK
16,101051,ACER LITE AL1-14M-3BID I3 1215 8GB 512GB 3BID W11+OHS IPS BLUE,READY,"Rp6.075.000,00","Rp6.400.000,00","Rp6.300.000,00",07/01/2026,LAPTOP,ACER,1,TIDAK
17,100461,ACER NITRO V 15 I5 13420H RTX2050 4GB/ 8GB 512GB W11+OHS 15.6FHD 144HZ IPS 2YR+ADP BLK -51.542G,KOSONG,,,,,,ACER,,YA
18,100532,ACER PREDATOR NEO BACKPACK ORIGINAL,KOSONG,,,,,,ACER,,YA
19,100453,ACER STANDARD BACKPACK ORIGINAL,KOSONG,,,,,,ACER,,YA
20,101292,ADAPTER ACER 19V-2.37A 45W 3*0*11MM WITH LIGHT,KOSONG,,,,,,ACER,,YA
21,100547,ADAPTER ACER 19V-3.42A 65W WITHLIGHT,KOSONG,,,,,,ACER,,YA
22,101137,"ADAPTER ASUS 19V-6A-120W-4,5*3.0MM ORI BOX",KOSONG,"Rp350.000,00",,,,CHARGER LAPTOP,ASUS,1,TIDAK
23,100990,ADAPTOR ASUS 19.0V - 1.75A 4.0X1.35MM,KOSONG,,,,,,,,YA
24,100541,ADAPTOR ASUS 19V-2.37A-45W SQUARE SHAPE,KOSONG,,,,,,,,YA
